NAME	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7_1141000	1	1	1	1	1	1	1	165.7870525	94.16198736
PF3D7_1141100	1	1	1	1	1	1	1	1297.87833	223.7502412
PF3D7_1141400	300.0938719	1	491.9239493	370.2086063	1	1	332.1142491	1	125.4372779
PF3D7_1141500	1	1	1	1	1	1	1	1	454.2980685
PF3D7_1141600	70.17722356	1	154.3391774	1	1	1	1	1	1
PF3D7_1141700	175.1864477	1	187.0961509	1	1	1	78.90416958	1	1
PF3D7_1141800	1	1	192.9784456	521.4985766	1	1	1	160.0409832	1
PF3D7_1141900	1	1	1	1	1	1	1	2822.961046	1
PF3D7_1142000	66.67033893	1	1	1	1	1	112.2722495	82.42266168	1
PF3D7_1142600	222.5516979	327.5783633	103.5367561	1	1	1	95.40490629	1	1
PF3D7_1142700	101.4496358	154.9255015	50.64379831	1	1	1	92.49790611	1	1
PF3D7_1142900	1	1	1	353.5764876	1	330.4952271	1	86.35919911	135.8340172
PF3D7_1143000	1	1	1	1	1	1	1	84.48426942	58.25148357
PF3D7_1143100	1	1	1	1	2988.65395	3207.242694	233.2575537	1480.900341	349.3972655
PF3D7_1143200	1	1	296.0159402	661.4551906	1	1	109.176484	59.20582545	1
PF3D7_1143600	1	1	1	1	1	1	138.6353771	508.5996782	790.2322028
PF3D7_1143700	1	1	1	1	1	1	203.0539401	181.0149352	523.497528
PF3D7_1143800	92.09614159	207.9400387	1	1	566.4131494	117.7152982	173.6357316	1	1
PF3D7_1143900	1	1	1	1	1	1	130.5417039	1	76.03638588
PF3D7_1144000	78.14657338	1	1	1	1	1	1	1	1
PF3D7_1144200	91.61210989	1	1	1	1	1	100.690318	121.4872372	1658.690198
PF3D7_1144300	93.83387361	1	1	1	1	1	1	1	1
PF3D7_1144400	1	1	1	1	1	1	161.4529863	99.78126416	1018.69659
PF3D7_1144700	100.4409011	1	166.7711918	1	1	1	75.99159657	1	48.00390232
PF3D7_1144800	1	1	1	1	1	1	158.7192034	1320.533038	687.3616695
PF3D7_1144900	1	1	153.7551215	260.671332	1	91.24044867	1	1	1
PF3D7_1145000	1	1	1	1	1	160.0107632	1	84.93211374	275.2762028
PF3D7_1145200	1	1	1	2438.41947	1	2500.14677	1	1728.087747	76.52225006
PF3D7_1145700	1	1	116.4897203	106.4266999	1	1	1	76.06718505	240.8740285
PF3D7_1145800	224.3428263	182.7228807	1	1	1	1	278.2684026	197.4938791	171.2552552
PF3D7_1145900	1	1	1	1	1	1	149.1897013	112.2853502	232.6396676
PF3D7_1146000	113.2765954	148.4814841	1	1	1	1	181.1120893	1	1
PF3D7_1146100	1	1	1	1	1	1	1	793.560782	1
PF3D7_1146200	1	1	1	1	1	1	1	72.81531512	1
PF3D7_1146300	1	1	1	1	1	1	1	617.6311877	129.9062318
PF3D7_1146500	1	1	1	1	1	1	1	1	152.4287037
PF3D7_1146600	167.0321983	1	355.7820826	424.1167175	1215.153908	1531.125384	150.8055104	70.08497262	120.7524527
PF3D7_1146700	1	1	1	1	1	1	1	1	832.0132153
PF3D7_1146800	1	1	1	1	1	1	1	1578.884809	247.5253335
PF3D7_1147000	1	1	1	249.0601013	1	1	155.0308281	1	1
PF3D7_1147100	1	1	1	1	1	1	1	362.4275094	435.896352
PF3D7_1147200	1	1	1	189.5257315	1	271.806531	1	2282.201165	613.2476629
PF3D7_1147300	491.6938426	1	722.2398232	435.2752384	1	1	453.2944781	152.7253505	151.2839423
PF3D7_1147600	1	1	162.1454768	215.1060033	1	1	142.5375136	135.9462265	293.1773733
PF3D7_1147900	1	1	1	162.9996175	1	1	75.11493313	152.8864504	1
PF3D7_1148700	1	480.0901546	1	1	1	1	375.1815145	1	179.6069894
PF3D7_1148800	1	180.673491	1	1	1	1	1	1	1
PF3D7_1149000	4468.343379	876.2681194	2194.91825	366.8906149	264.5940953	148.3807512	560.0542806	1	1
PF3D7_1149100_1	541.6307701	143.4987984	96.83052521	1	1	1	1	1	1
PF3D7_1149200	1105.577355	5853.292756	633.5055763	685.577544	16146.93812	786.4232281	677.6227528	190.3227957	518.8283396
PF3D7_1149300	1	157.9327206	1	1	189.2819664	1	1	1	1
PF3D7_1149400	927.7846555	176.9250319	91.5859636	1	1	1	1	1	1
PF3D7_1149600	84.97632265	948.3541376	1	1	1241.753041	81.679662	1	1	1
PF3D7_1200100	503.0350399	4330.891607	210.2137335	290.749535	1169.454003	234.919671	179.1821197	1	106.8047513
PF3D7_1200600	489.446705	4096.111578	175.3424311	57.3765065	2380.515286	1	1	1	89.98581881
PF3D7_1200700	296.361811	2313.722993	90.23045288	134.6476453	1468.508702	143.0369044	90.50774603	1	1
PF3D7_1200800	175.6483072	656.9411009	119.1475714	1	437.6590922	1	106.7632997	1	99.8305543
PF3D7_1200900	272.1975436	679.6607432	183.2453157	103.4519922	182.4794005	97.76561831	115.5871013	1	1
PF3D7_1201000	1255.65631	310.5540825	89.36173991	1	1	1	1	1	1
