NAME	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7.0713400	134.081002749763	235.095224381745	100.84264303173	90.9348747978288	156.058191424037	1	100.514400063393	1	1
PF3D7.0713500	1	123.834963563688	150.952163267762	110.613402647136	103.526405154777	1	89.6622645129417	1	736.03911790796
PF3D7.0713600	186.795877932642	1	142.966897634689	1	1	1	114.735978899834	1	1
PF3D7.0713800	1	1	1	1	1	289.493961989832	1	1	1
PF3D7.0714100	1	1	1	1	1	1	1	1	528.899213019578
PF3D7.0714400	1	1	1	1	1	1	1	1	268.872241286509
PF3D7.0715000	232.047958606032	200.727347567578	127.201845252233	1	1	1	106.064904038989	1	1
PF3D7.0715100	1	1	1	1	1	1	1	236.612568365397	627.592005494602
PF3D7.0715300	1	1	153.848052772725	44.6105516629119	1	1	1	1	1
PF3D7.0715400	1	1	1	1	1	1	1	1381.03532514417	1
PF3D7.0715600	132.168704105867	1	130.553673573303	1	1	1	90.3726964862198	1	1
PF3D7.0716300	1229.66176319115	244.957304325599	1942.80581411842	928.351275727781	1	1	757.204571055327	130.451155182026	68.1727824097589
PF3D7.0716400	133.712998448475	1	275.348787185048	93.8931822178667	1	1	207.560297211447	210.275836372402	1
PF3D7.0716500	130.019545942625	1	155.945914331965	1	1	1	1	1	140.40456240616
PF3D7.0716900	1	1	1	1	1	1	84.389971595542	90.0094352550331	1
PF3D7.0717000	1	1	93.8861936356558	95.46459452396	1	1	88.5773327782329	1	1
PF3D7.0717400	164.010905340423	217.657570896967	109.751920386102	1	122.47380545132	89.8494753129053	117.658783929472	1	1
PF3D7.0717500	108.314881037408	1	260.011913230087	401.777321059305	100.023113939282	1028.48622723276	141.223887156043	97.4302057090324	922.216422839118
PF3D7.0717800	1	1	71.1212523198144	1	1	1	1	264.646594378492	1
PF3D7.0717900	592.816045836384	123.364824352681	113.190572326349	1	1	1	404.652004316951	250.058670557343	173.346075687155
PF3D7.0718000	1	1	1	1	1	1	288.248178147875	406.90142725087	4344.82523994983
PF3D7.0718600	1	1	1	1	1	143.361117431261	1	1	1
PF3D7.0718700	80.7194923019717	1	1	1	1	1	1	1	1
PF3D7.0719000	160.620024044341	1	81.408872865585	1	1	1	191.350381551665	1	220.838780854158
PF3D7.0719200	1	1	1	1	1	1	1	818.10226910672	1
PF3D7.0719600	1175.23104331563	1121.37456784131	472.492221268884	1	153.557835874354	1	428.72876124518	73.5352738567359	125.107296080468
PF3D7.0720100	192.164013271125	269.915343394884	95.144978957019	1	1	1	217.904003165482	143.255822344466	84.744380195892
PF3D7.0720200	120.24138012722	213.07339191031	69.2788458608262	1	1	1	118.172258956672	1	1
PF3D7.0720400	259.771064874746	1	128.405322829439	1	1	1	226.336968821292	85.1506169679733	77.9834017700093
PF3D7.0720600	163.976070965875	1	260.723845945944	157.672228196447	1	1	293.361690071737	1	89.0532729525412
PF3D7.0720900	87.1185699798383	1	133.23152871511	1	1	1	117.347625664825	1	140.37564155383
PF3D7.0721100	684.444251712846	1	849.162782241667	190.048486973811	1	1	572.202014394577	135.211629188805	1
PF3D7.0721200	1	186.259841316106	61.962753872855	72.0709799486607	1	1	122.742752434197	97.120204178232	96.1121417512075
PF3D7.0721400	158.451538689149	1	231.467623014369	106.064188901047	1	1	91.3070729573977	75.5091082521075	1
PF3D7.0721700	1	1	1	1	1	1	1	125.418991484921	1
PF3D7.0721800	1	1	79.3879484572587	1	1	1	1	1	1
PF3D7.0721900	1	1	1	1	1	1	1	71.371054274188	1
PF3D7.0722100	1	1	69.0747447991312	1	1	1	1	1	1
PF3D7.0722200	1	1	1	3807.45090894876	1	8117.80508468427	1	96.2196716351733	1
PF3D7.0722300	110.881662972714	154.981865878029	137.48567382868	1	184.776226401876	1	199.762606126032	200.002745137999	172.631053435539
PF3D7.0722400	413.603870488483	330.250709519553	260.358772515885	44.5078671712949	243.871711711273	1	155.046393058209	1	1
PF3D7.0722800	1	1	1	1	1	1	1	1203.2628899625	57.9300577481909
PF3D7.0722900	1	1	1	135.681136854387	1	1	1	715.788541788238	1
PF3D7.0723000	1	1	1	1	124.979313659765	1	1	1	1
PF3D7.0723100	1	1	1	1	1	1	1	417.207452018968	1
PF3D7.0723300	1	1	105.261705574764	199.433657828232	1	885.289856470975	1	2014.50753432444	104.724334467346
PF3D7.0723800	365.416323913099	1	753.827995074569	1352.73535636359	1	1040.35687509258	567.640875683423	380.813531804207	849.365604746615
PF3D7.0724200	145.626405421626	1	47.959170734251	1	1	1	123.35765939695	1	97.1536808185465
PF3D7.0724300	1	1	107.516223895883	1	1	1	104.374030148199	1	64.8555683814476
PF3D7.0724400	102.028256606927	142.059955595333	1	1	1	1	1	1	1
PF3D7.0724500	1	1	1	1	1	1	1	1	302.45379555558
PF3D7.0724600	159.650132506908	1	240.311076485817	304.249358813011	1	1	86.7476318996507	1	354.038820168235
PF3D7.0724800	118.063362258692	1	104.880996034541	1	606.25004498072	137.259946381685	123.72562421406	121.942615059905	185.973211077325
PF3D7.0724900	1	1	1	1	2733.86110785767	716.237429120267	145.676392071331	3191.75058080612	272.273193602059
PF3D7.0725200	107.930762291312	1	1	1	1	1	1	1	1
PF3D7.0725300	186.756927729921	303.830187878958	1	1	1	101.859548152139	1	1	1
PF3D7.0725400	1	1	1	70.6230697763684	10663.0458639434	3822.67142943276	1	1	1
PF3D7.0726100	288.708509854723	1811.91799600915	62.8849582980358	1	604.631096525471	97.2775868993067	141.430898089508	1	83.2425117048334
PF3D7.0726200	1	1	1	1	1	1	1	212.523521997043	1
PF3D7.0726700	104.461284969048	1	308.90573516087	281.62114652615	1	1	125.811388113076	503.375418347485	1
PF3D7.0726900	200.482212418519	1	93.6309567001246	1	1	1	107.511346161311	1	1
PF3D7.0727200	100.870312743912	234.287002462346	1	1	1	1	110.792818228598	203.26690228418	75.183970901152
PF3D7.0727500	150.03240581778	1	277.159972710947	80.8076842531856	1	1	216.50705543771	1	146.682040581478
PF3D7.0727600	135.733479049247	1	1	1	1	1	136.296986937168	1	1
PF3D7.0727700	119.317152440539	1	161.62010985218	1	1	1	121.163654342041	1	1
PF3D7.0728500	1	1	60.8136389536061	1	1	1	138.509842352859	183.536751389239	435.442738385224
PF3D7.0728700	1	1	1	1	1	1	1	148.295499377088	132.798411700182
PF3D7.0728800	363.441452251728	1	438.883767230004	131.447159691857	1	1	328.720760292889	1	420.623765924019
PF3D7.0729000	103.565791437045	206.893751525581	86.9317911220111	47.8657725518164	1	1	1	77.7691667506777	103.127203764166
PF3D7.0729400	118.238977819149	319.066389517409	1	1	111.763038204544	1	143.943075721321	1	78.0325429119333
PF3D7.0729700	1	1	1	103.477255076625	1	609.191280545762	70.861211296566	116.468424516003	470.309712794414
PF3D7.0729800	1	1	1	1	1	1	1	1	124.154795505128
PF3D7.0730100	169.744591816909	1	1	1	1	1	154.44552243838	118.559937134858	1
PF3D7.0730200	1	1	61.3451473525712	64.7630946019849	1	1	1	1	107.559429879394
PF3D7.0730300	799.77641179054	1203.89115252195	176.900588760766	90.0160526119353	3344.81965052555	849.542289727399	318.427116635507	1	116.878259489413
PF3D7.0730400	1	1	1	1	386.791458898746	523.71716849629	1	60.9411407965778	1
PF3D7.0730900	708.806296888358	1179.44217377121	128.381421531784	1	592.5226902734	144.279864945212	121.134890164039	1	74.3495890845647
PF3D7.0731100	286.990574791482	1714.68215330959	132.388424607436	216.944858650854	741.853279526247	148.268777863804	292.317146544894	1	139.150558494608
PF3D7.0731200	1	154.826947056617	1	1	399.193535416875	1	1	1	1
PF3D7.0731300	307.327317353069	315.021833209389	78.8202428359597	1	1	1	1	1	1
PF3D7.0731500	258.486722785144	966.195185359106	204.631388761469	206.150029142565	30433.9451084863	2265.5765599528	223.777296881855	1	220.122960078866
