genesymbols	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7.0515300	565.417986152495	201.125619107319	961.748791376121	751.455891266275	1	207.229877758108	544.005908927602	393.608537765063	167.881871295002
PF3D7.0515400	1	1	1	84.216504809129	192.524283020285	1233.89072232324	1	909.310360620733	84.225394664606
PF3D7.0515500	1	1	1	1	1	1	1	363.630524725318	411.154485731051
PF3D7.0515600	1	1	1	1	1	1	164.103356776577	404.661077941145	433.093493635586
PF3D7.0515700	1	1	191.23435062173	962.282217633517	1	913.886960463181	244.056724828035	242.389615793542	115.5815099868
PF3D7.0515800	102.687286660126	1	93.6082552286144	67.0294458907181	1	1	127.312567698183	97.705535141602	1
PF3D7.0515900	81.662618672572	1	151.322532967876	101.435037533266	1	1	92.603669952512	65.4347679563919	66.0795902953096
PF3D7.0516000	196.62697361712	1	1	1	1	1	235.539223926692	125.10694646914	1
PF3D7.0516100	122.616678039108	1	117.477120826208	1	1	1	271.173774201285	161.066098870873	176.059708590624
PF3D7.0516200	1	185.948034365857	45.9008966072711	1	1	1	1	1	1
PF3D7.0516300	96.4267087618612	1	1	1	1	1	1	71.1169045642727	1
PF3D7.0516400	105.620159202223	1	75.1137403795331	76.3546109097236	1	100.567128314953	1	229.46590420643	1
PF3D7.0516500	1	1	1	1	1	1	1	57.7411557141519	1
PF3D7.0516600	160.526185534611	1	374.473983172172	180.828291412558	1	148.902442645707	189.307029189126	101.097098125444	162.480507662029
PF3D7.0516700	101.740445357089	243.24315162686	295.700152920057	515.564151987334	149.408380992922	1044.27392025393	181.267262524687	1	234.750352728977
PF3D7.0516800	170.168902077537	1	867.358603441202	1095.16142873694	1	1	315.271002917033	556.707534469524	340.906263581845
PF3D7.0516900	1536.03354441284	1485.10321995309	795.456660284118	221.743894307865	202.447342666109	1	790.366742789712	204.920787141257	269.507711322066
PF3D7.0517000	1301.59972193492	1298.82389000007	441.183618203827	107.198028882023	182.771887743676	1	378.907493482478	121.989631215913	166.930922010471
PF3D7.0517100	163.015349145017	252.007860020619	74.8878685403853	1	132.136473541715	1	123.112056713645	63.4046474577229	1
PF3D7.0517200	1	500.64554465305	1	1	210.690803548079	1	1	57.8903914998586	85.6852783318784
PF3D7.0517300	211.595861276435	499.015709436115	213.862808338994	123.162330809405	212.136665594409	1	197.587246935597	84.9030303144822	73.8729519385668
PF3D7.0517400	426.307239304956	238.027576664325	489.831865177872	168.406099391746	1	1	524.290258415415	171.367795531688	716.010808217226
PF3D7.0517500	1	1	1	1	1	1	112.309284070734	481.917268092175	70.06249781775
PF3D7.0517600	1	1	1	1	1	64.5332699552022	109.561971920559	394.367640951117	1
PF3D7.0517700	585.325863377895	559.557120027186	173.738558420346	1	203.867363916326	1	385.818826295285	297.894219172791	168.316891483967
PF3D7.0517800	1	1	1	1	1	1	1	604.708152589086	101.682065484902
PF3D7.0517900	1	1	219.856938018637	486.350275208549	1	1	139.258696069442	248.322592383923	259.343797520903
PF3D7.0518000	150.558661504315	233.507656246798	58.1023259747355	82.6108031436573	1	1	242.130684997405	215.880985280457	177.539794617401
PF3D7.0518100	221.028652147635	1	231.844709269106	105.577411566254	1	1	195.6031811204	127.374434331658	106.511302609965
PF3D7.0518200	1	1	313.148977100217	467.569893580212	1	118.591747135897	149.250338441855	303.53750393259	1
PF3D7.0518300	114.816632941614	1	90.0114302491524	62.6819314314954	1	1	1	1	1
PF3D7.0518400	1	1	1	1	1	1	1	1	519.777693151555
PF3D7.0518500	384.374545287342	371.316743889356	318.267601276088	99.5641546239723	1	1	390.737217354515	231.617029303312	462.908812030671
PF3D7.0518600	86.0106539309442	1	261.864021604247	351.897858917248	1	1	405.991848948079	328.991756713315	941.572566935419
PF3D7.0518700	1	1	1	1	1	1	290.054136687851	346.841370112649	832.073537515119
PF3D7.0518800	1	1	1	1	1	1	1	3196.87127557358	95.9756110521388
PF3D7.0518900	1	1	1	1	1	1	1	1	1
PF3D7.0519000	83.5305510329447	1	1	1	1	1	76.3742209563422	1	1
PF3D7.0519100	1	1	1	1	1	1	1	1	1
PF3D7.0519200	1	1	70.6504930873189	1	1	1	1	329.028177524053	144.945909327642
PF3D7.0519300	1	1	90.5972232299846	1	1	1	1	59.6551981877189	1
PF3D7.0519400	2084.3203813832	1740.06176098896	1135.14743727704	390.420560029533	460.647326318957	96.590982311651	996.606789928451	201.005985157526	267.961379444746
PF3D7.0519500	349.978615779936	1	225.453475884358	190.693999270259	1	129.971418784608	415.113884893564	225.430983006963	383.681283537873
PF3D7.0519600	235.819278564969	143.720650450467	208.000961506175	1	1	1	112.665708246425	1	1
PF3D7.0519700	276.863618508903	489.242203760171	250.074166455219	133.271983803365	316.884091102634	1	389.804322461822	129.677793080141	103.780915676246
PF3D7.0519800	194.748426530848	245.885868392121	147.00337307667	1	1	1	127.368583608793	91.9683069808812	241.363081995039
PF3D7.0519900	110.100834785763	1	117.007655433183	63.8409180932548	1	1	101.89163574759	1	85.3268543431013
PF3D7.0520000	1843.04940466866	2668.34668877796	1041.22837304847	305.515945731868	386.569539617106	68.5603620268305	1062.60498026081	452.147913641672	302.192054450763
PF3D7.0520100	168.366297968415	168.630878529254	102.803340258591	1	1	1	131.617841175742	1	181.70678998361
PF3D7.0520200	157.875684417199	1	124.860308876475	1	1	1	1	1	1
PF3D7.0520300	137.49458621055	1	112.192575835555	1	1	1	75.7978516916614	77.579558848214	1
PF3D7.0520400	1	1	1	1	1	1	1	1	1
PF3D7.0520500	1	1	1	1	1	1	1	1	1
PF3D7.0520600	234.818231152879	358.308584686826	67.7053206608604	1	1	1	97.2816674516979	1	107.291772821475
PF3D7.0520700	239.944180772953	169.139170313187	141.161601096999	1	1	1	289.647270861136	78.1833839581459	110.618011161455
PF3D7.0520800	599.978287324317	129.144469016714	1144.83591544608	403.305720940076	1	1	305.044721225932	74.1835793303895	197.221187513056
PF3D7.0520900	1176.46975909057	466.498878453458	1657.10335324604	698.892845105669	1	69.1468121331254	324.214968940743	1	1
PF3D7.0521000	390.142430332005	385.066204824701	114.414942933896	69.3876682945637	1	1	502.944012197826	558.315180928825	597.074985552069
PF3D7.0521100	1	1	1	1	1	1	1	1	345.383362274247
PF3D7.0521200	1	1	71.2243597660606	1	1	1	1	126.241110900106	108.598442658933
PF3D7.0521300	343.782466179413	412.191697829531	390.45769785423	204.457939964617	161.456264106206	1	404.564493049838	381.419689857631	663.971649367139
PF3D7.0521400	213.54074584826	1	209.735664423792	1	1	1	208.081145330705	76.9072576146358	117.518408472722
PF3D7.0521500	172.378615386554	1	81.3369371759758	1	1	1	1	1	1
PF3D7.0521600	1	1	1	1	1	1	1	1	1
PF3D7.0521700	114.898881291723	1	1	1	1	1	1	1	50.3780936104596
PF3D7.0521800	1	1	1	90.5608860695104	1	1	1	55.1005631840906	98.9154703579662
PF3D7.0521900	1	1	1	1	1	1	106.454017429974	226.329402808832	1436.25170655152
PF3D7.0522000	160.912263585529	112.495504602385	103.52389647769	1	1	1	353.407012532691	214.509053774929	78.4542411497043
PF3D7.0522100	1	1	1	119.375736716957	1	417.230826997774	110.790739492022	127.981643036996	119.009395139189
PF3D7.0522200	263.42143825189	146.004160122087	308.089749236496	150.581820246897	1	102.284195770683	306.804678018232	147.93963726224	108.353137927499
PF3D7.0522300	131.971317980493	190.733905322433	1	1	1	1	144.761861921813	1	1
PF3D7.0522400	200.537364469952	1	667.131116370706	2951.10442992747	204.757987578015	5279.54384192885	1976.23826415399	1461.95943773316	1526.0892761556
PF3D7.0522500	119.643976925179	1	140.347373468678	80.0811072611745	1	1	100.01615614001	1	1
PF3D7.0522600	1	1	1	242.512023305533	1	233.214275852657	1	1	93.8078077202263
